Grade Distribution for Fall 2012 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2012-2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 5/5/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2012 Fall,Astronomy,ASTRON,Astronomy,120,001,Opt & Ir Astro Lab,Gaspard Duchene; Geoffrey Bower,05993,2,3,3,3,3,,1,,,,,,,,,,,,15
2012 Fall,Astronomy,ASTRON,Astronomy,160,001,Stellar Physics,Geoffrey Marcy,05996,2,10,5,4,9,,,3,,,,,,,,,,,33
2012 Fall,Bioengineering,BIO ENG,Bioengineering,10,001,Intro/Biomed Engin,Terry Johnson,06353,,25,45,15,13,5,6,,2,1,1,,,,,,,,113
2012 Fall,Bioengineering,BIO ENG,Bioengineering,98,027,Directed Group Stdy,Sanjay Kumar,06442,,,,,,,,,,,,,,20,,1,,,21
2012 Fall,Bioengineering,BIO ENG,Bioengineering,100,001,Ethics In Sci & Eng,Teresa Head-Gordon,06523,2,21,2,1,1,1,,,,,,,,8,,,,,36
2012 Fall,Bioengineering,BIO ENG,Bioengineering,102,001,Biomechanics,Song Li,06524,11,17,14,14,7,,2,2,3,,1,,,,,,,1,72
2012 Fall,Bioengineering,BIO ENG,Bioengineering,113,001,Stem Cells & Tech,Irina Conboy,06545,7,1,12,12,4,5,3,,3,,2,,1,1,,,,,51
2012 Fall,Bioengineering,BIO ENG,Bioengineering,115,001,Cell Bio For Eng,Hayley Lam,06554,2,11,8,7,3,,1,,,,,,,,,,,,32
2012 Fall,Bioengineering,BIO ENG,Bioengineering,C118,001,Biolog Perf Mats,Shyam Patel,06563,2,11,10,6,4,2,,,,,,1,,,,,,,36
2012 Fall,Bioengineering,BIO ENG,Bioengineering,C119,001,Orthop Biomech,Tony Keaveny,06569,,1,2,3,3,1,2,,,,,,,,,,,,12
2012 Fall,Bioengineering,BIO ENG,Bioengineering,121,001,Biomems & Med Dev,Luke Lee,06578,2,16,8,3,3,,,,,,,,,,,,,4,36
2012 Fall,Bioengineering,BIO ENG,Bioengineering,121L,011,Biomems Bionano Lab,Dorian Liepmann; Kathryn Fink,06587,,3,3,6,2,1,,,,,,,,,,,,,15
2012 Fall,Bioengineering,BIO ENG,Bioengineering,131,001,Intro To Comp Mcb,Ian Holmes,06608,,1,2,3,8,3,4,3,1,,,1,,,,,,,26
2012 Fall,Bioengineering,BIO ENG,Bioengineering,132,001,Genetic Devices,John Anderson,06617,,5,4,1,1,3,1,2,,,,,,,,,,,17
