Grade Distribution for Spring 2014 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2013-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (Sereeta Alexander) 3/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2014 Spring,Art Practice,ART,Art Practice,12,003,Lang Of Draw,Stephanie Lie,04318,1,9,9,2,2,,,,,,,,1,1,,,,,25
2014 Spring,Art Practice,ART,Art Practice,13,001,Lang Of Painting,John Mcnamara,04321,2,16,1,,,,,,,,,,,,,,,,19
2014 Spring,Art Practice,ART,Art Practice,13,002,Lang Of Painting,Craig Nagasawa,04324,,11,1,,1,,1,,,,,,,1,,1,,,16
2014 Spring,Art Practice,ART,Art Practice,14,001,Lang Of Sculpture,Daniel Nevers,04327,,4,7,2,,1,,1,,,,,,2,1,,,,18
2014 Spring,Art Practice,ART,Art Practice,14,002,Lang Of Sculpture,Erik Scollon,04330,1,4,7,1,3,1,,1,,,,,,1,,,,,19
2014 Spring,Art Practice,ART,Art Practice,W23AC,001,American Cybercultr,Greg Niemeyer,04332,8,11,1,2,1,,1,,,,,,,1,,,,2,27
2014 Spring,Art Practice,ART,Art Practice,102,002,Approaches To Ptng,Indira Morre,04387,8,8,1,1,,1,,,,,,,,1,,,,,20
2014 Spring,Art Practice,ART,Art Practice,117,001,Drawing Composition,Miriam Dym,04390,2,8,3,2,1,3,,,,,,,,,,,,,19
2014 Spring,Art Practice,ART,Art Practice,118,001,Figure Drawing,Aida Gamez,04393,,10,3,4,,,,,,,,,,1,,,,,18
2014 Spring,Art Practice,ART,Art Practice,119,001,Gpca,Allan Desouza,04396,1,23,14,,,1,,,,,,,,,,,,,39
