Grade Distribution for Fall 2016 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2016-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Fall (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 2/28/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2016 Fall,Bioengineering,BIOENG,Bioengineering,102,1,Biomech Anal & Dsgn,Mohammad Mofrad,32846,,13,11,20,11,4,2,1,3,,,,1,,,,,,66
2016 Fall,Bioengineering,BIOENG,Bioengineering,114,1,Cell Engineering,Irina Conboy,31787,14,6,1,2,,1,,,,,,,,2,,,,,26
2016 Fall,Bioengineering,BIOENG,Bioengineering,115,1,Cell Bio For Eng,Hayley Lam,26405,2,17,7,2,,,,,,,,,,,,,,,28
2016 Fall,Bioengineering,BIOENG,Bioengineering,121L,11,Biomems Bionano Lab,Dorian Liepmann,26489,2,12,2,,,,,,,,,,,,,,,,16
2016 Fall,Bioengineering,BIOENG,Bioengineering,124,1,Basic Prin Drug,Niren Murthy,26491,18,,13,5,1,,,,,,,,,1,,,,,38
2016 Fall,Bioengineering,BIOENG,Bioengineering,131,1,Intro To Comp Mcb,Ian Holmes,26346,4,5,7,,2,1,1,1,,,,1,,2,,1,,,25
2016 Fall,Bioengineering,BIOENG,Bioengineering,147,1,Prin Of Syn Bio,Adam Arkin,32848,1,3,3,4,,3,1,2,1,,,,1,,,2,,,21
2016 Fall,Bioengineering,BIOENG,Bioengineering,148,1,Bio Chem Syn Bio,John Dueber,26316,1,6,5,4,1,3,1,,,,,,,,,,,,21
2016 Fall,Bioengineering,BIOENG,Bioengineering,150,1,Intro To Bio & Bion,Seung-Wuk Lee,26342,15,12,,11,4,,2,,,,1,,,,,,,,45
2016 Fall,Bioengineering,BIOENG,Bioengineering,163,1,Prin Of Molec & Cel,Gerard Marriott,26366,3,7,5,,,,,,,,,,,,,,,1,16
2016 Fall,Bioengineering,BIOENG,Bioengineering,190,1,Special Top In Bioe,Kimmen Sjolander,33666,,6,2,4,,,,,,,1,,,,,,,,13
2016 Fall,Bioengineering,BIOENG,Bioengineering,192,1,Sr Design Project,Amy Herr,26317,,27,,1,,,,,,,,,,,,,,,28
2016 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C50,1,Intro To Buddhism,Robert Sharf,13447,,5,7,6,8,4,,1,3,,1,,,11,,3,,,49
2016 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C114,1,Tibetan Buddhism,Jann Ronis,32159,,2,7,2,,,,,,,,,,1,,,,,12
2016 Fall,Buddhist Studies Grad Grp,BUDDSTD,Buddhist Studies,C120,1,Buddhsm-Silk Road,Sanjyot Mehendale,13623,1,14,,,,,,,,,,,,4,,,,,19
2016 Fall,Business,UGBA,Business Admin-Undergrad,10,1,Principles Of Bus,Judy Hopelain,10551,24,63,133,100,95,24,15,2,2,,,,1,21,,1,,,481
2016 Fall,Business,UGBA,Business Admin-Undergrad,39AC,1,Philanthropy,Colin Lacon,10760,,4,12,16,,,,,,,,,,2,,,,,34
2016 Fall,Business,UGBA,Business Admin-Undergrad,39E,1,Fresh/Soph Sem,David Harris,10762,4,6,1,,,,,,2,,,,,4,,,,,17
2016 Fall,Business,UGBA,Business Admin-Undergrad,100,1,Business Comm,Daniel Himelstein,10616,,,24,9,,,,,,,,,,,,,,,33
2016 Fall,Business,UGBA,Business Admin-Undergrad,100,2,Business Comm,Janet Brady,10730,,3,10,10,7,,,,,,,,,,,,,,30
