Grade Distribution for Spring 2015 Undergraduate Courses at UC Berkeley,,,,,,,,,,,,,,,,,,,,,,,,,,,
Academic Year: 2014-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester: Spring (End of Term Data),,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Cal Answers ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Type: Primary,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course Level: 0-199,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVC-BRP: Office of Planning and Analysis (kbs) 3/16/2015,,,,,,,,,,, ,,,,,,,,,,,,,,,,
Excludes classes where all students received the same grade & excludes classes with fewer than 10 enrollments (privacy issue),,,,,,,,,,,,,,,,,,,,,,,,,,,
Semester Year Name Concat,Crs Academic Dept Short Nm,Course Subject Cd,Course Subject Short Nm,Course Number,Section Nbr,Course Title Nm,Instr Name Concat,Course Control Nbr,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete,Total Grades for Course
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1A,006,Engl Comp World Lit,Jeffrey Weiner; Victoria Kahn,17458,1,,2,4,3,3,,2,,,,,,,,,,,15
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1B,001,Engl Comp World Lit,Philip Gerard; Victoria Kahn,17215,,3,,3,2,,2,,2,,,,,,,,,,12
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1B,002,Engl Comp World Lit,Laura Wagner; Victoria Kahn,17218,,,,4,4,3,2,,,,,,,,,,,,13
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1B,003,Engl Comp World Lit,Margarita Gordon; Victoria Kahn,17221,,3,1,3,1,,,1,1,,,,,,,1,,,11
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1B,004,Engl Comp World Lit,Karina Palau,17224,,4,2,3,3,3,,,,,,,,,,,,,15
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1B,005,Engl Comp World Lit,Adeline Tran; Celine Piser; Victoria Kahn,17227,,2,12,4,4,5,2,,,1,,,2,,,,,,32
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1B,006,Engl Comp World Lit,Caitlin Scholl; Victoria Kahn,17230,,1,2,3,5,2,,,,,,,1,,,,,,14
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1B,007,Engl Comp World Lit,Keith Ford; Paul De Morais; Victoria Kahn,17233,,3,5,6,3,8,3,1,,1,1,,,,,,,,31
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1B,008,Engl Comp World Lit,Carli Cutchin; Kathryn Crim; Victoria Kahn,17236,,3,2,8,8,1,2,,,,,,,1,,,,,25
2015 Spring,Comparative Literature,COM LIT,Comparative Literature,R1B,009,Engl Comp World Lit,Karina Palau,17239,,6,2,4,1,1,,1,,,,,,,,,,1,16
