Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
IAS,150,46496,005,Adv Std In Ias,Clare Talwalker,under,0,9,2,0,0,2,0,1,0,0,0,0,0,2,1
GEOG,70AC,36314,001,Urban Experience,Michael Johns,under,0,6,13,16,14,6,3,2,1,0,0,0,3,44,2
PHYS ED,11,68321,019,Pe Activities,M. Scott,under,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3
STAT,21,87438,001,Intro Prob Stat Bus,Shobhana Murali Stoyanov,under,23,36,19,38,57,16,13,54,24,4,7,0,6,5,2
HISTORY,103F,39417,004,Proseminar:  Asia,Thomas Hill,under,0,3,2,3,2,0,0,0,0,0,0,0,0,1,0
MEDIAST,102,56742,001,Effects Mass Media,Jean Retzinger,under,3,29,45,49,40,25,11,7,5,1,1,1,1,7,3
LD ARCH,134B,48548,001,Drawing Workshop Ii,Akiko Ono,under,3,8,11,1,1,0,0,0,0,0,0,0,0,0,0
THEATER,151B,88167,001,Theater History,Mel Gordon,under,1,7,2,3,7,2,0,0,0,0,0,0,0,2,2
ANTHRO,140,02597,001,Anthro Of Food,Christine Hastorf; Stanley Brandes,under,4,35,10,10,9,3,1,2,0,0,0,0,0,5,2
COMPSCI,61AS,26313,002,Str Interp Comp Prg,Paul Hilfinger,under,4,1,1,3,3,5,1,0,1,1,1,0,2,6,2
THAI,1A,85903,001,Introductory Thai,Supatra Chowchuvech,under,3,2,7,2,0,0,0,0,0,0,0,0,0,2,0
PSYCH,141,74301,001,Devel Dur Infancy,Irena Keller,under,9,82,6,4,2,2,1,0,1,0,0,1,0,1,2
PHYS ED,2,68159,008,Pe Activities,Jason Britton,under,0,0,0,2,1,0,0,1,0,0,0,0,0,10,0
THEATER,10,88030,001,Intro To Acting,Mel Gordon,under,0,17,3,0,0,0,0,0,0,0,0,0,0,1,0
CIV ENG,113N,14122,001,Ecol Eng Wat Qual,Khalid Kadir,under,1,3,4,0,4,2,1,1,0,0,0,0,0,0,1
PACS,126,66751,001,Interl Human Rights,Darren Zook,under,4,58,31,23,13,2,1,0,0,0,0,0,1,23,0
CHINESE,1A,20606,002,Elementary Chinese,Chen-Hui Tsai; Chunhong Xie; Matthew Mewhinney,under,0,7,3,1,0,1,0,0,0,0,0,0,0,4,0
PUB POL,190,77157,005,Spec Topics Pub Pol,Roy Ulrich,under,0,2,5,3,4,3,0,2,2,1,0,0,0,2,0
GERMAN,R5A,37257,003,Reading And Comp,Karen Feldman; Tara Hottman,under,0,4,6,2,4,1,0,1,1,0,0,0,0,0,0
CHINESE,1A,20603,001,Elementary Chinese,Chen-Hui Tsai; Haodong Han; Wenchi Chang,under,0,3,3,1,0,0,0,0,1,0,0,0,0,5,1
