Subject,ClassNum,CourseID,Section,ClassDesc,Instructor,Level,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,NP
IAS,120,46466,001,Selected Topics,Tara Graham,under,1,5,3,4,1,0,0,0,0,0,0,0,0,1,4
SOC WEL,110,80754,001,Soc Wk As A Prof,Bart Grossman,under,2,17,13,6,3,4,1,0,0,0,0,0,0,0,0
ENGLISH,141,28174,001,Modes Of Writing,Melanie Chandra,under,0,9,24,6,7,4,0,0,0,0,0,0,0,3,0
FRENCH,1,32218,006,Elementary French,Leslie Martin; Seda Chavdarian,under,0,7,3,2,0,1,1,0,0,0,0,0,1,3,0
L & S,160B,52022,001,Philos & Values,John Phillips,under,2,55,20,16,9,4,0,3,0,1,0,0,1,21,2
PHYS ED,11,68216,002,Pe Activities,David Esquer; M. Scott,under,0,30,0,0,0,0,0,0,0,0,0,0,0,2,2
AFRICAM,173AC,00767,001,Gandhi: Cv Rts Amer,Purushottama Bilimoria,under,0,5,6,3,0,0,0,0,0,0,0,0,0,3,0
LEGALST,168,51656,001,Reproduction & Law,Joan Hollinger,under,1,3,7,8,8,6,5,4,1,0,0,0,0,6,0
THEATER,11,88036,002,Scene Stdy Charactr,Caitlin Marshall; Martin Berman,under,3,3,3,3,0,0,0,0,0,0,0,0,0,1,0
PHYS ED,1,68042,014,Pe Activities,Toni Mar,under,0,0,0,0,2,0,0,0,0,0,0,0,0,20,5
LEGALST,102,51539,001,Policing & Society,Michael Musheno,under,1,18,15,17,5,1,1,1,1,0,0,0,1,0,1
COLWRIT,R4B,16538,008,"Read,Comp,Research",Stephen Tollefson,under,0,6,3,2,2,0,1,1,0,0,0,0,0,0,1
PHYSICS,7A,68772,002,Scient Engin Phys,Achilles Speliotopoulos,under,1,22,21,20,25,16,14,19,17,0,2,0,1,6,0
ENGLISH,125B,28141,001,English Novel,Justin Eichenlaub,under,0,19,10,7,2,1,3,0,1,0,0,0,0,2,0
UGBA,105,08290,001,Intro Org Behavior,Andreea Gorbatai,under,3,35,32,26,40,22,3,1,1,0,0,0,0,17,0
ENV SCI,196L,30878,012,Sen Res Lab Env Sci,Kurt Spreyer,under,0,19,3,2,0,0,0,0,0,0,0,0,0,0,0
IAS,140,46472,001,Special Topics,Jonathan Lewis; Maximilian Auffhammer,under,3,3,7,0,1,0,0,0,0,0,0,0,0,2,0
GERMAN,C25,37269,001,Marxnietzschefreud,Karen Feldman,under,0,5,3,1,5,1,0,1,0,1,0,0,0,7,3
COMPSCI,161,26556,001,Computer Security,Vern Paxson,under,10,33,27,38,79,31,22,20,13,1,3,2,3,13,2
FRENCH,2,32260,005,Elementary French,Seda Chavdarian; Vesna Rodic,under,0,13,2,0,0,1,0,0,0,0,0,0,0,3,0
MAT SCI,151,53254,001,Polymeric Materials,Ting Xu,under,8,8,0,9,9,0,5,6,0,0,0,0,0,1,0
ITALIAN,R5B,46948,001,Reading & Comp,Natalie Cleaver,under,1,7,8,1,0,0,0,1,0,0,0,0,0,0,0
MATH,16A,53686,001,Anal Geo & Calculus,Leo Harrington,under,28,39,34,32,65,55,31,55,2,19,13,0,13,6,9
DEMOG,98,18203,001,Directed Group Stdy,Bianca Davoodian; Carl Mason; Matthew Davoodian,under,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2
ENGLISH,R1B,27943,020,Reading And Comp,Christopher Miller; David Landreth,under,0,4,4,4,0,4,1,0,0,0,0,0,0,0,0
MAT SCI,140,53251,001,Nanomat-Sci & Eng,Andrew Minor,under,0,11,8,2,4,0,0,0,0,0,0,0,0,0,0
PHYS ED,1,68099,033,Pe Activities,Richard Morris,under,0,7,0,0,0,0,0,0,0,0,0,0,0,18,1
