Course Subject Cd,Course Number,Section Nbr,Instr Name Concat,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Pass,Satisfactory,Not Pass,Unsatisfactory,Incomplete
PB HLTH,H195B,2,Charlotte Smith,,25,,1,,,,,,,,,,,,,,
COMPSCI,198,153,Paul Hilfinger,,,,,,,,,,,,,,24,,3,,
MUSIC,198,2,Leighton Fong; -,,,,,,,,,,,,,,24,3,,,
ASIANST,198,2,Robert Berring,,,,,,,,,,,,,,26,,1,,
NATAMST,120AC,1,Diane Pearson,,23,,,,,,,,,,,,4,,,,
PHYS ED,12,13,Ginger Miles; Susanna Li-Jue,,,,,,,,,,,,,,26,,1,,
PHYS ED,12,14,Ginger Miles; Susanna Li-Jue,,,,,,,,,,,,,,26,,1,,
"ENE, RES",98,1,Duncan Callaway,,,,,,,,,,,,,,26,,1,,
EDUC,98,14,Jabari Mahiri; Richard Gibson,,,,,,,,,,,,,,26,,1,,
MATH,98,26,Michael Wong; Olga Holtz,,,,,,,,,,,,,,26,,2,,
MCELLBI,290,C02,Aimee King,2,26,,,,,,,,,,,,,,,,
NUSCTX,190,1,Hei Sul,5,23,,,,,,,,,,,,,,,,
ASTRON,98,2,Daniel Kasen,,,,,,,,,,,,,,26,,2,,
PSYCH,198,12,Thomas Griffiths,,,,,,,,,,,,,,27,,1,,
SOCIOL,198,10,Linus Huang,,,,,,,,,,,,,,27,,1,,
COMPSCI,9E,1,Carol Marshall; Paul Hilfinger,,,,,,,,,,,,,,20,,8,,
MATH,98,13,Michael Wong; Olga Holtz,,,,,,,,,,,,,,28,,1,,
ENGIN,296MB,26,Alice Agogino,8,21,,,,,,,,,,,,,,,,
FILIPN,W1Y,1,Maria Barrios-Leblanc,7,23,,,,,,,,,,,,,,,,
MCELLBI,198,1,Craig Miller; Kiarash Shamardani; Shadi Shams,,,,,,,,,,,,,,28,,2,,
EL ENG,298,8,John Wawrzynek,,11,,,,,,,,,,,,,19,,,
MCELLBI,198,6,Anagh Sinha; Dirk Hockemeyer; Yvette Tran,,,,,,,,,,,,,,30,,1,,
COMPSCI,97,200,Daniel Garcia,,,,,,,,,,,,,,30,,1,,
COMPSCI,197,203,Joshua Hug,,,,,,,,,,,,,,29,,3,,
MATH,98,11,Christopher Policastro; Olga Holtz,,,,,,,,,,,,,,28,,4,,
STAT,198,2,David Aldous,,,,,,,,,,,,,,30,,2,,
PHYS ED,12,24,Anthony Sandoval; Susanna Li-Jue,,,,,,,,,,,,,,31,1,,,
SOCIOL,198,4,Brian Powers,,,,,,,,,,,,,,30,,2,,
EL ENG,198,2,Pieter Abbeel,,,,,,,,,,,,,,32,,1,,
MATH,98,30,Michael Wong; Olga Holtz,,,,,,,,,,,,,,31,,2,,
NUSCTX,198,1,Kristen Rasmussen,,,,,,,,,,,,,,33,,1,,
PB HLTH,255D,1,Jennifer Ahern,,,,,,,,,,,,,,,32,,,2
UGBA,198,1,Holly Schroth,,,,,,,,,,,,,,33,,1,,
MATH,98,33,Michael Wong; Olga Holtz,,,,,,,,,,,,,,30,,4,,
SOC WEL,198,2,Gregory Merrill,,,,,,,,,,,,,,28,,6,,
SPANISH,198,1,Miriam Hernandez-rodriguez,,,,,,,,,,,,,,29,,6,,
SOC WEL,250Z,1,Adrian Aguilera,,34,2,,,,,,,,,,,,,,,
MATH,98,24,Michael Wong; Olga Holtz,,,,,,,,,,,,,,33,,3,,
PB HLTH,198,4,Winston Tseng,,,,,,,,,,,,,,33,,3,,
COMPSCI,97,203,Joshua Hug,,,,,,,,,,,,,,35,,1,,
CHICANO,194B,1,Maria Gallegos-Diaz,34,3,,,,,,,,,,,,,,,,
INTEGBI,198,1,Dawei Liu; Fan Gao; Thomas Carlson,,,,,,,,,,,,,,37,1,,,
VIS STD,207D,1,W Martin,,22,16,,,,,,,,,,,,,,,
ANTHRO,198,20,Daniel Fisher,,,,,,,,,,,,,,35,,3,,
