Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,23935,,23935,,23935,Mark Brilliant,,American Studies,102AC,001,A,Letter Grade,A-,Us Cultures/Place
2,23935,,23935,,23935,Mark Brilliant,,American Studies,102AC,001,B,Letter Grade,B+,Us Cultures/Place
4,23935,,23935,,23935,Mark Brilliant,,American Studies,102AC,001,B,Letter Grade,B,Us Cultures/Place
2,23935,,23935,,23935,Mark Brilliant,,American Studies,102AC,001,C,Letter Grade,C,Us Cultures/Place
2,23935,,23935,,23935,Mark Brilliant,,American Studies,102AC,001,C,Letter Grade,C-,Us Cultures/Place
1,23935,,23935,,23935,Mark Brilliant,,American Studies,102AC,001,D,Letter Grade,D+,Us Cultures/Place
1,23935,,23935,,23935,Mark Brilliant,,American Studies,102AC,001,D,Letter Grade,D,Us Cultures/Place
5,23935,,23935,,23935,Mark Brilliant,,American Studies,102AC,001,Credit,Non-Letter Grade,Pass,Us Cultures/Place
2,23935,,23935,,23935,Mark Brilliant,,American Studies,102AC,001,No Credit,Non-Letter Grade,Not Pass,Us Cultures/Place
3,24132,,24132,,24132,Mark Brilliant,,American Studies,H110,001,A,Letter Grade,A,Honors Seminar
1,24132,,24132,,24132,Mark Brilliant,,American Studies,H110,001,B,Letter Grade,B+,Honors Seminar
2,24132,,24132,,24132,Mark Brilliant,,American Studies,H110,001,B,Letter Grade,B,Honors Seminar
1,24132,,24132,,24132,Mark Brilliant,,American Studies,H110,001,B,Letter Grade,B-,Honors Seminar
3,24132,,24132,,24132,Mark Brilliant,,American Studies,H110,001,Credit,Non-Letter Grade,Pass,Honors Seminar
1,32033,,32033,,32033,Alexander Craghead,,American Studies,C112,001,A,Letter Grade,A+,Amer Landscape
1,32033,,32033,,32033,Alexander Craghead,,American Studies,C112,001,A,Letter Grade,A,Amer Landscape
1,32033,,32033,,32033,Alexander Craghead,,American Studies,C112,001,A,Letter Grade,A-,Amer Landscape
5,32033,,32033,,32033,Alexander Craghead,,American Studies,C112,001,B,Letter Grade,B+,Amer Landscape
1,32033,,32033,,32033,Alexander Craghead,,American Studies,C112,001,B,Letter Grade,B-,Amer Landscape
1,32033,,32033,,32033,Alexander Craghead,,American Studies,C112,001,No Credit,Non-Letter Grade,Not Pass,Amer Landscape
6,24605,,24605,,24605,Enrique Lima,,American Studies,C152,001,A,Letter Grade,A,Native American Lit
2,24605,,24605,,24605,Enrique Lima,,American Studies,C152,001,A,Letter Grade,A-,Native American Lit
3,24605,,24605,,24605,Enrique Lima,,American Studies,C152,001,B,Letter Grade,B+,Native American Lit
1,24605,,24605,,24605,Enrique Lima,,American Studies,C152,001,B,Letter Grade,B-,Native American Lit
2,24605,,24605,,24605,Enrique Lima,,American Studies,C152,001,Credit,Non-Letter Grade,Pass,Native American Lit
4,20768,,20768,,20768,Louise Mozingo; Madeline Forbes,,American Studies,C171,001,A,Letter Grade,A,Amer Dsgn Land 1850
2,20768,,20768,,20768,Louise Mozingo; Madeline Forbes,,American Studies,C171,001,B,Letter Grade,B+,Amer Dsgn Land 1850
1,20768,,20768,,20768,Louise Mozingo; Madeline Forbes,,American Studies,C171,001,D,Letter Grade,D-,Amer Dsgn Land 1850
1,20768,,20768,,20768,Louise Mozingo; Madeline Forbes,,American Studies,C171,001,F,Letter Grade,F,Amer Dsgn Land 1850
3,20768,,20768,,20768,Louise Mozingo; Madeline Forbes,,American Studies,C171,001,Credit,Non-Letter Grade,Pass,Amer Dsgn Land 1850
2,24602,,24602,,24602,Sarah Gold Mcbride,,American Studies,189,001,A,Letter Grade,A+,Amerstd Thesis Res
7,24602,,24602,,24602,Sarah Gold Mcbride,,American Studies,189,001,A,Letter Grade,A,Amerstd Thesis Res
4,24602,,24602,,24602,Sarah Gold Mcbride,,American Studies,189,001,A,Letter Grade,A-,Amerstd Thesis Res
3,24602,,24602,,24602,Sarah Gold Mcbride,,American Studies,189,001,B,Letter Grade,B+,Amerstd Thesis Res
1,24602,,24602,,24602,Sarah Gold Mcbride,,American Studies,189,001,B,Letter Grade,B,Amerstd Thesis Res
2,24602,,24602,,24602,Sarah Gold Mcbride,,American Studies,189,001,B,Letter Grade,B-,Amerstd Thesis Res
2,24602,,24602,,24602,Sarah Gold Mcbride,,American Studies,189,001,Credit,Non-Letter Grade,Pass,Amerstd Thesis Res
3,15057,,15057,,15057,Sarah Gold Mcbride,,American Studies,191,001,A,Letter Grade,A,Senior Seminar
1,15057,,15057,,15057,Sarah Gold Mcbride,,American Studies,191,001,A,Letter Grade,A-,Senior Seminar
3,15057,,15057,,15057,Sarah Gold Mcbride,,American Studies,191,001,B,Letter Grade,B,Senior Seminar
2,15057,,15057,,15057,Sarah Gold Mcbride,,American Studies,191,001,C,Letter Grade,C,Senior Seminar
1,18934,,18934,,18934,Alexander Craghead,,American Studies,H195,001,B,Letter Grade,B+,Honors Thesis
4,31051,,31051,,31051,Emily Mackil; David Wheeler,,Anc Hist & Medit Archae,R1B,001,A,Letter Grade,A,Read Comp Ahma
